timestamp,back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,label
2021-03-11 10:23:18.434,-0.986084,-0.031494,-0.330566,-0.968018,-0.141113,-0.036865,101
2021-03-11 10:23:18.454,-0.981934,-0.029053,-0.343018,-0.970703,-0.138428,-0.018555,101
2021-03-11 10:23:18.473,-0.967285,-0.011475,-0.326172,-0.956543,-0.152588,-0.01709,101
2021-03-11 10:23:18.493,-0.966553,0.001221,-0.328125,-0.952393,-0.156738,-0.003418,101
2021-03-11 10:23:18.513,-0.948975,0.002197,-0.328125,-0.953125,-0.15625,-0.001465,101
2021-03-11 10:23:18.534,-0.933105,0.019287,-0.328369,-0.953125,-0.158203,0.011963,101
2021-03-11 10:23:18.554,-0.915283,0.038574,-0.325928,-0.953125,-0.144043,0.018311,101
2021-03-11 10:23:18.573,-0.912842,0.067627,-0.304199,-0.953125,-0.139893,0.003418,101
2021-03-11 10:23:18.593,-0.997803,0.053711,-0.280762,-0.950928,-0.140625,-0.000488,101
2021-03-11 10:23:18.614,-1.093018,0.005371,-0.295654,-0.967041,-0.138428,0.0,101
2021-03-11 10:23:18.634,-1.071045,0.003174,-0.279541,-0.957275,-0.154541,0.0,101
2021-03-11 10:23:18.653,-1.046631,0.041992,-0.2771,-0.952393,-0.142578,0.0,101
2021-03-11 10:23:18.673,-1.062256,0.065918,-0.267334,-0.953125,-0.149658,0.0,101
2021-03-11 10:23:18.694,-1.036865,0.065918,-0.280273,-0.950928,-0.168701,0.0,101
2021-03-11 10:23:18.714,-1.015625,0.080078,-0.259766,-0.965088,-0.174561,0.0,101
2021-03-11 10:23:18.733,-1.031006,0.078613,-0.247803,-0.969238,-0.159668,0.001953,101
2021-03-11 10:23:18.753,-1.006348,0.073486,-0.250488,-0.970703,-0.148926,-0.011963,101
2021-03-11 10:23:18.774,-0.975098,0.063477,-0.24585,-0.95874,-0.187744,-0.020508,101
2021-03-11 10:23:18.794,-0.971191,0.084229,-0.231934,-0.94043,-0.229004,0.003906,101
2021-03-11 10:23:18.813,-0.983154,0.09668,-0.234375,-0.938965,-0.233398,0.040771,101
2021-03-11 10:23:18.833,-0.962158,0.089355,-0.235107,-0.921143,-0.239746,0.039551,101
2021-03-11 10:23:18.854,-0.949951,0.075684,-0.22998,-0.942871,-0.281982,0.092285,101
2021-03-11 10:23:18.874,-0.956543,0.078125,-0.216309,-0.966309,-0.331299,0.134521,101
2021-03-11 10:23:18.894,-0.975586,0.078125,-0.21875,-0.969238,-0.290283,0.074463,101
2021-03-11 10:23:18.913,-0.986572,0.079102,-0.219727,-0.964355,-0.217285,0.002197,101
2021-03-11 10:23:18.934,-0.984375,0.074219,-0.212891,-0.994629,-0.184082,-0.05835,101
2021-03-11 10:23:18.954,-0.984375,0.055176,-0.20459,-0.991455,-0.208252,-0.044922,101
2021-03-11 10:23:18.973,-0.984375,0.044434,-0.227051,-0.976074,-0.229736,-0.012451,101
2021-03-11 10:23:18.993,-0.984375,0.045654,-0.231445,-0.941895,-0.246826,0.036865,101
2021-03-11 10:23:19.013,-0.983154,0.050781,-0.216309,-0.949951,-0.252686,0.048828,101
2021-03-11 10:23:19.034,-0.988281,0.067627,-0.219727,-0.946045,-0.23584,0.048828,101
2021-03-11 10:23:19.054,-1.006348,0.091064,-0.213135,-0.912842,-0.241211,0.032715,101
2021-03-11 10:23:19.073,-1.024658,0.11377,-0.203125,-0.902588,-0.276367,0.040039,101
2021-03-11 10:23:19.093,-1.025146,0.109375,-0.193115,-0.917969,-0.279297,0.059326,101
2021-03-11 10:23:19.114,-1.016602,0.113281,-0.154785,-0.922363,-0.223877,0.062988,101
2021-03-11 10:23:19.134,-1.079346,0.098633,-0.181641,-0.919678,-0.164795,0.064453,101
2021-03-11 10:23:19.153,-1.192139,0.027344,-0.250244,-0.933594,-0.145264,0.04834,101
2021-03-11 10:23:19.173,-1.199707,-0.037109,-0.259521,-0.942383,-0.199219,0.057861,101
2021-03-11 10:23:19.194,-1.086914,-0.019531,-0.266113,-0.909424,-0.245117,0.065186,101
2021-03-11 10:23:19.214,-1.053467,0.037842,-0.226074,-0.92627,-0.249023,0.052734,101
2021-03-11 10:23:19.233,-1.059326,0.081787,-0.204346,-0.950684,-0.261719,0.03418,101
2021-03-11 10:23:19.253,-1.076904,0.101074,-0.253418,-0.951416,-0.270508,0.02832,101
2021-03-11 10:23:19.274,-1.0979,0.085449,-0.304199,-0.962646,-0.246338,0.042969,101
2021-03-11 10:23:19.294,-1.054199,0.046143,-0.3479,-0.983398,-0.211426,0.045166,101
2021-03-11 10:23:19.313,-0.994873,-0.016113,-0.360352,-0.973145,-0.1875,0.060791,101
2021-03-11 10:23:19.333,-0.931396,-0.105713,-0.371338,-0.96582,-0.194092,0.053467,101
2021-03-11 10:23:19.354,-0.864258,-0.16333,-0.403564,-0.973877,-0.225098,0.03418,101
2021-03-11 10:23:19.374,-0.860352,-0.142334,-0.404785,-1.020264,-0.23877,0.032715,101
2021-03-11 10:23:19.394,-0.875244,-0.083252,-0.377686,-1.026611,-0.284668,0.021484,101
2021-03-11 10:23:19.413,-0.919922,-0.048828,-0.344238,-1.062012,-0.392334,0.00293,101
2021-03-11 10:23:19.434,-1.015625,-0.042969,-0.312744,-1.10376,-0.384033,0.007812,101
2021-03-11 10:23:19.454,-1.060547,-0.050537,-0.277832,-1.112793,-0.31665,-0.044678,101
2021-03-11 10:23:19.473,-1.033447,-0.07959,-0.261475,-1.097412,-0.269531,-0.070557,101
2021-03-11 10:23:19.493,-1.005859,-0.097656,-0.267334,-1.09082,-0.195557,-0.107422,101
2021-03-11 10:23:19.513,-0.990234,-0.095459,-0.259766,-1.105469,-0.143799,-0.153564,101
2021-03-11 10:23:19.534,-0.982422,-0.085693,-0.23999,-1.118652,-0.079346,-0.225342,101
